name,road,sidewalk,building,wall,fence,pole,light,sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motocycle,bicycle
00001.png,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False
00002.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
00003.png,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00004.png,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00005.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00006.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00007.png,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00008.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
00009.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00010.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00011.png,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00012.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00013.png,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00014.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00015.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00016.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00017.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00018.png,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,False,False,False
00019.png,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00020.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00021.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00022.png,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False
00023.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False
00024.png,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False
00025.png,True,True,True,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False
00026.png,True,True,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False
00027.png,True,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False
00028.png,True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False
00029.png,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,False,False,False,True
00030.png,True,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00031.png,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False
00032.png,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False
00033.png,True,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False
00034.png,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False
00035.png,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False
00036.png,True,False,True,False,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False
00037.png,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False
00038.png,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False
00039.png,True,False,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00040.png,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False
00041.png,True,False,True,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00042.png,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False
00043.png,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False
00044.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False
00045.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False
00046.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False
00047.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False
00048.png,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
00049.png,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False
00050.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False
00051.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00052.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False
00053.png,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False
00054.png,True,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False
00055.png,True,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,False
00056.png,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False
00057.png,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False
00058.png,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False
00059.png,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,False
00060.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False
00061.png,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00062.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False
00063.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00064.png,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False
00065.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False
00066.png,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False
00067.png,True,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False
00068.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False
00069.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False
00070.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False
00071.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False
00072.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False
00073.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00074.png,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False
00075.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00076.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00077.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00078.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00079.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00080.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False
00081.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False
00082.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,False
00083.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,False
00084.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00085.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00086.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00087.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00088.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00089.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00090.png,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False
00091.png,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False
00092.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00093.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00094.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00095.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00096.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00097.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00098.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00099.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00100.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00101.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
00102.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False
00103.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False
00104.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00105.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False
00106.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False
00107.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00108.png,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00109.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00110.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True
00111.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False
00112.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False
00113.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00114.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00115.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00116.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00117.png,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True
00118.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True
00119.png,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False
00120.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00121.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00122.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00123.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00124.png,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
00125.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True
00126.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
00127.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True
00128.png,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True
00129.png,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False
00130.png,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False
00131.png,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False
